SurveyID,SurveyNM
bcbOp6,Product Survey - Surgical Services
XSVh1Y,Product Survey - MultiCare
tiEtdu,Product Survey - Population Explorer (TCH)
BtfwWY,MultiCare Engagement Survey
H2IWBR,MultiCare RFE Services Survey
tt1cyC,Product Survey - Heart Failure
ELsUJB,Product Survey - CAUTI
uSKKjl,Product Survey - ACO Application Suite
OSHc2k,Product Survey - Financial Management Explorer
N3QSaR,Product Survey - ACO MSSP Measures
L0D1uz,Product Survey - ACO Explorer
mWZtpf,Product Survey - Readmission Explorer (KUHA)
GaPXdu,Product Survey - Patient Stratification
NmBbM7,Product Survey - Lab Explorer (Allina)
fCI2PV,Product Survey - Professional Billing
bEItC9,Product Survey - Patient Access
T24mRi,Product Survey - Financial Management Explorer Survey
buerhe,Allina Services Survey
q6Gn04,Embedded Feedback
lwKExE,Product Survey - OR Dashboard
wS6bdO,Product Survey - Bowel Surgery
eHp99V,Internal SAM Designer Survey
h9JLss,Product Survey - Stroke
JYUE7e,Product Survey - Readmission Explorer
xuYMQ4,Product Survey - Population Explorer
fsQTKu,Product Survey - PMPM Analyzer
PbLFMg,Product Survey - Revenue Cycle Explorer
ihPUuM,Catalyst Platform Survey
WZlV3R,Product Survey - Sepsis
XJboYS,Revenue Cycle (Outpatient)
apea8K,Financial Management Explorer Survey - Albany
KRgbBU,ACO Application Suite
KNucKn,Patient Experience Explorer
jMN9c0,Health Catalyst  Engagement Evaluation Survey
