lat,lon,city
67.1,157.85,"Ambler,AK"
61.17,150.02,"Anchorage,AK"
61.22,149.85,"Anchorage,AK"
57.83,134.97,"Angoon,AK"
61.58,159.53,"Aniak,AK"
55.03,131.57,"Annette Isl,AK"
53.5,173.3,"Attu,AK"
71.3,156.78,"Barrow,AK"
70.13,143.63,"Barter Islan,AK"
60.78,161.8,"Bethel Arpt,AK"
66.92,151.52,"Bettles,AK"
64,145.73,"Big Delta,AK"
60.82,152.3,"Big River Lk,AK"
63.38,148.95,"Cantwell,AK"
56,134.22,"Cape Decis,AK"
60.38,147.08,"Cape Hinchi,AK"
58.33,137.05,"Cape Spence,AK"
60.33,145,"Cape St Eli,AK"
67.5,148.48,"Chandalar Lk,AK"
62.88,149.83,"Chulitna,AK"
65.83,144.07,"Circle City,AK"
55.2,162.72,"Cold Bay,AK"
60.5,145.5,"Cordova,AK"
55.8,133.25,"Craig,AK"
70.2,148.47,"Deadhorse,AK"
59.05,158.52,"Dillingham,AK"
62.73,143.92,"Duffys Tavern,AK"
53.88,166.53,"Dutch Harbor,AK"
64.77,141.15,"Eagle Arpt,AK"
59.62,135.37,"Eldred Rock,AK"
58.2,136.35,"Elfin Cove,AK"
64.82,147.87,"Fairbanks,AK"
62.85,154.47,"Farewell,AK"
57.45,134.03,"Five Finger,AK"
65.93,149.83,"Five Mile,AK"
66.57,145.27,"Fort Yukon,AK"
58.25,134.9,"Funter Bay,AK"
68.48,149.48,"Galbraith Lk,AK"
63.77,171.73,"Gambell,AK"
62.15,145.45,"Gulkana Arpt,AK"
58.42,135.73,"Gustavus,AK"
59.23,135.43,"Haines Hrbor,AK"
61.98,152.08,"Hayes River,AK"
63.83,149,"Healy River,AK"
59.63,151.5,"Homer,AK"
58.1,135.45,"Hoonah Seapl,AK"
59.75,154.92,"Iliamna Arpt,AK"
58.37,134.58,"Juneau,AK"
56.97,133.95,"Kake Seaplan,AK"
60.57,151.25,"Kenai,AK"
55.35,131.7,"Ketchikan,AK"
58.68,156.65,"King Salmon,AK"
57.75,152.5,"Kodiak,AK"
66.87,162.63,"Kotzebue,AK"
61.63,149.03,"Lazy Mtn,AK"
70.92,153.23,"Lonely (dew),AK"
65,150.65,"Manley Ht Sp,AK"
61.43,142.92,"Mccarthy,AK"
62.97,155.62,"Mcgrath,AK"
60.37,166.27,"Mekoryuk,AK"
59.43,146.33,"Middleton Is,AK"
63.9,152.27,"Minchumina,AK"
64.55,149.08,"Nenana,AK"
62.07,163.3,"New Andreafs,AK"
53.58,169.42,"Nikolski,AK"
64.5,165.43,"Nome,AK"
62.97,141.93,"Northway,AK"
70.5,149.88,"Oliktok Dew,AK"
61.6,149.08,"Palmer,AK"
63.03,145.5,"Paxson,AK"
56.82,132.97,"Petersburg,AK"
69.82,162.92,"Point Lay,AK"
56.25,134.65,"Port Alexndr,AK"
65.25,166.87,"Port Clarnce,AK"
56.95,158.62,"Port Heiden,AK"
66.82,150.65,"Prospect Crk,AK"
70.25,148.33,"Prudhoe Bay,AK"
60.2,154.3,"Pt Alsworth,AK"
62.17,153.25,"Puntilla,AK"
55.33,160.5,"Sand Point,AK"
60.18,149.75,"Seward,AK"
53.2,174.13,"Shemy,AK"
66.27,166.03,"Shishmaref,AK"
57.07,135.35,"Sitka,AK"
56.88,154.2,"Sitkinak,AK"
59.75,135.53,"Skagway,AK"
61.97,151.2,"Skwentna,AK"
62.03,146.67,"Snowshoe Lk,AK"
57.15,170.22,"St Paul Is,AK"
61.9,147.3,"Tahneta Pass,AK"
62.3,150.1,"Talkeetna,AK"
65.17,152.1,"Tanana,AK"
69.37,152.13,"Umiat,AK"
63.88,160.8,"Unalakleet,AK"
61.13,146.35,"Valdez,AK"
61.13,146.25,"Valdez 2,AK"
70.62,159.85,"Wainwright,AK"
66.03,168.08,"Wales,AK"
60.78,148.72,"Whittier,AK"
61.75,150.05,"Willow Arpt,AK"
56.48,132.37,"Wrangell,AK"
59.52,139.67,"Yakutat,AK"
