lat,lon
67.1,157.85
61.17,150.02
61.22,149.85
57.83,134.97
61.58,159.53
55.03,131.57
53.5,173.3
71.3,156.78
70.13,143.63
60.78,161.8
66.92,151.52
64,145.73
60.82,152.3
63.38,148.95
56,134.22
60.38,147.08
58.33,137.05
60.33,145
67.5,148.48
62.88,149.83
65.83,144.07
55.2,162.72
60.5,145.5
55.8,133.25
70.2,148.47
59.05,158.52
62.73,143.92
53.88,166.53
64.77,141.15
59.62,135.37
58.2,136.35
64.82,147.87
62.85,154.47
57.45,134.03
65.93,149.83
66.57,145.27
58.25,134.9
68.48,149.48
63.77,171.73
62.15,145.45
58.42,135.73
59.23,135.43
61.98,152.08
63.83,149
59.63,151.5
58.1,135.45
59.75,154.92
58.37,134.58
56.97,133.95
60.57,151.25
55.35,131.7
58.68,156.65
57.75,152.5
66.87,162.63
61.63,149.03
70.92,153.23
65,150.65
61.43,142.92
62.97,155.62
60.37,166.27
59.43,146.33
63.9,152.27
64.55,149.08
62.07,163.3
53.58,169.42
64.5,165.43
62.97,141.93
70.5,149.88
61.6,149.08
63.03,145.5
56.82,132.97
69.82,162.92
56.25,134.65
65.25,166.87
56.95,158.62
66.82,150.65
70.25,148.33
60.2,154.3
62.17,153.25
55.33,160.5
60.18,149.75
53.2,174.13
66.27,166.03
57.07,135.35
56.88,154.2
59.75,135.53
61.97,151.2
62.03,146.67
57.15,170.22
61.9,147.3
62.3,150.1
65.17,152.1
69.37,152.13
63.88,160.8
61.13,146.35
61.13,146.25
70.62,159.85
66.03,168.08
60.78,148.72
61.75,150.05
56.48,132.37
59.52,139.67
