City,Population
American Fork ,"26,263"
Bountiful ,"42,552"
Cedar City,"28,857"
Clearfield,"30,112"
Clinton,"20,426"
Cottonwood Heights,"33,433"
Draper ,"42,274"
Eagle Mountain,"21,415"
Herriman ,"21,785"
Holladay ,"26,472"
Kaysville ,"27,300"
Layton,"67,311"
Lehi ,"47,407"
Logan,"48,174"
Midvale ,"27,964"
Murray,"46,746"
Orem,"88,328"
Pleasant Grove ,"33,509"
Provo,"112,488"
Riverton ,"38,753"
Roy,"36,884"
Salt Lake City,"186,440"
Sandy ,"87,461"
South Jordan ,"50,418"
South Salt Lake ,"23,617"
Spanish Fork ,"34,691"
Springville ,"29,466"
St. George ,"72,897"
Taylorsville,"58,652"
Tooele ,"31,605"
West Jordan,"103,712"
